Country,TemperatureTrend
Cyprus,-1.867460141257678
Greece,-1.7047224844920776
Belarus,-0.5986756733076313
Barbados,-0.40199705144664194
Zambia,-0.3399966557153453
Canada,-0.2613338271519407
Venezuela,-0.23441878642596503
Dominican Republic,-0.21140399471253155
Pakistan,-0.1627867908007191
Russia,-0.1453485172314151
Mauritania,-0.12611773178736194
Syria,-0.12185996966500473
Mongolia,-0.10771650710345365
Kuwait,-0.10452349007381584
Portugal,-0.0976812487560593
Uzbekistan,-0.09609225415962812
Saudi Arabia,-0.09108131045740428
Kyrgyzstan,-0.08873254210403303
Turkmenistan,-0.07418269803249407
France,-0.06903245439459647
Tunisia,-0.06812860529582505
Iceland,-0.0679834587202345
Morocco,-0.06590458498133485
Sweden,-0.0637215814674023
Latvia,-0.06291481589401926
Lebanon,-0.0597761683937718
Jordan,-0.05893279776031839
Belgium,-0.05861713466405619
Algeria,-0.05581651992573727
China,-0.054694421037243646
Ireland,-0.05293504053108312
Qatar,-0.050492292088166316
South Korea,-0.04917049510860427
Norway,-0.04844359996528374
Japan,-0.047160647147921224
Macedonia,-0.04711438678644018
The Netherlands,-0.04551099089670099
Switzerland,-0.042943554503190956
Thailand,-0.04094429402033278
Finland,-0.04072532295664244
Ukraine,-0.03843669930828008
Bahrain,-0.03816156083392927
United Arab Emirates,-0.03748874583731022
Egypt,-0.03645097176498918
Senegal,-0.03523899460441155
Bermuda,-0.03479505150138433
Hong Kong,-0.034263822460139884
Yugoslavia,-0.03267726386397983
United Kingdom,-0.031519350793432634
Denmark,-0.031194397521058022
Spain,-0.030892445818693774
Slovakia,-0.03042879219036598
Romania,-0.028021429207681945
Hungary,-0.025767669374465427
Turkey,-0.025277679700197963
Italy,-0.02496037037696425
Croatia,-0.023245593285069584
US,-0.022253343276183876
Austria,-0.020842216122992134
Czech Republic,-0.017826320375630086
Bulgaria,-0.017432651500387784
Kazakhstan,-0.014929821701222416
Panama,-0.01449336299043209
Vietnam,-0.01384271729479398
Singapore,-0.0017700865657219245
India,-0.0011379975331532082
